Presence,Aspect,BulkDensity,CEC,Clay,Curvature,Elevation,SOC,Sand,Slope,TWI,pH
1,308.50122,138,77,152,-16,95,295,641,5.9381304,6.848211549,55
1,237.67603,139,74,150,-17,99,274,643,11.965049,6.252032058,55
1,270,139,84,156,-4,32,309,687,6.5009828,5.88554226,54
1,189.51523,136,76,185,7,49,259,623,5.6244416,6.325219958,54
1,279.40964,136,77,183,9,68,271,621,5.6545825,6.669216321,54
1,90,137,73,182,1,99,223,649,4.653691,7.162325127,55
1,314.8371,135,90,197,3,111,284,620,1.3151845,8.510273663,54
1,225.1629,135,93,201,-1,115,294,620,3.9400244,7.454586381,55
1,198.53236,139,74,175,-11,73,224,675,5.8489003,6.622297486,55
1,180,140,74,166,10,43,254,671,6.464861,6.220641164,55
1,328.8953,140,74,168,-3,47,238,678,10.70597,5.726135382,55
1,142.97678,139,74,166,17,41,261,671,4.6366496,6.572492503,55
1,186.37532,139,74,176,5,46,261,651,8.339956,6.014416743,55
1,206.69293,139,74,182,-2,49,265,635,6.204399,6.313394369,55
1,324.3108,141,78,179,5,87,217,659,7.9424386,6.512868045,55
1,281.24866,141,84,134,-17,67,230,722,4.743857,6.723195103,52
1,225.15994,139,72,178,-6,82,238,692,1.3151163,8.192967689,55
1,31.752277,140,81,192,11,107,281,643,13.900336,6.200442546,54
1,18.53236,140,81,192,2,99,268,643,2.932089,7.690138033,54
1,0,139,75,182,-1,91,237,652,3.7047918,7.332325569,54
1,352.83502,141,73,186,11,104,235,648,7.4362874,6.823710719,55
1,243.56549,138,79,190,4,147,239,631,2.0825143,8.357636475,56
1,270,138,74,202,19,131,228,619,7.4206014,7.015088188,56
1,213.84134,139,78,160,-8,185,239,673,6.6697564,7.393137178,56
1,108.33863,137,77,189,2,99,233,676,2.9452577,7.667630523,55
1,333.30603,137,77,185,-1,100,235,679,8.247652,6.667557044,54
1,31.106245,138,84,179,19,50,242,650,5.400206,6.485957822,54
1,26.69424,139,84,179,3,56,247,650,2.0753708,7.49203777,54
1,45.161274,138,84,179,-1,48,242,650,6.548229,6.291800291,54
1,239.17844,140,65,178,-1,73,221,644,5.4144583,6.798823261,55
1,174.77632,140,66,171,5,93,224,642,10.137812,6.421923413,54
1,247.49455,140,69,178,-22,83,231,652,11.939596,6.042380633,55
1,270,139,69,178,2,73,231,652,1.8648049,7.913354574,55
1,45.16077,140,76,186,-5,70,228,658,1.3151354,8.091600686,55
1,314.83932,140,74,184,-1,80,223,677,3.9398713,7.175311531,56
1,300.8222,139,73,183,-6,87,224,692,5.41436,6.971310772,56
1,326.16138,140,74,184,4,72,223,677,6.6695466,6.564985457,56
1,96.30506,138,76,188,-10,98,289,678,8.385019,6.615086528,56
1,303.54202,138,83,190,0,82,236,674,3.3533058,7.303046574,56
1,63.563187,138,78,191,6,81,236,677,2.082346,7.802928629,56
1,270,141,78,169,4,59,249,680,2.7959106,7.193663048,56
1,251.66095,141,79,152,-6,43,230,715,2.9451935,6.898997604,54
1,333.30502,141,76,147,-1,69,236,666,6.20451,6.601058394,53
1,352.83493,139,80,192,2,83,278,630,7.4362884,6.524855217,55
1,0,140,87,172,11,46,281,633,1.8543341,7.47340418,55
1,161.46742,139,70,165,0,28,226,678,2.9320927,6.437373842,56
1,151.25255,141,75,183,-11,57,194,659,11.480485,5.752952461,55
1,277.085,-9999,-9999,-9999,6,86,-9999,-9999,7.476967,6.584578288,-9999
1,239.1799,139,85,191,0,75,217,614,5.4146905,6.798780117,55
1,180,140,84,180,-1,48,211,630,5.547545,6.409278033,54
1,333.30496,139,81,203,-5,84,246,621,2.075385,7.839432178,55
1,11.37254,138,88,191,2,59,292,643,4.7196274,6.683887344,54
1,45.162384,139,91,174,-2,69,275,638,5.246898,6.744498714,55
1,328.89294,139,86,193,-3,76,272,635,5.400252,6.765534157,54
1,314.8375,140,88,165,17,35,290,642,3.9399977,6.626713406,54
1,123.53989,138,72,172,-1,65,205,635,3.3534932,7.113748563,54
1,254.14047,138,72,172,0,74,211,635,6.756355,6.55193472,54
1,211.10753,135,82,185,-6,81,286,624,5.4002786,6.824718054,54
1,153.30466,134,83,174,3,50,331,631,2.0753908,7.360692109,54
1,0,138,82,166,9,34,270,642,3.7047918,6.608406729,55
1,26.6953,137,84,163,4,45,319,647,6.2045274,6.189320884,54
1,63.564495,138,88,162,9,39,301,642,4.1593957,6.552924799,55
1,63.564377,139,82,164,-8,79,238,645,10.304205,6.237412068,54
1,20.662998,137,87,165,-9,52,286,648,7.8799887,6.020619652,55
1,45.162045,140,84,178,-15,92,221,659,6.548317,6.718529282,54
1,314.83762,137,81,180,5,60,249,642,6.548354,6.413141902,55
1,0,139,80,138,7,39,247,728,8.2891,6.053409901,53
1,196.03018,140,78,151,-7,51,207,717,6.724059,6.198373125,54
1,0,140,77,145,4,40,239,720,5.547545,6.181888191,53
1,225.15999,140,75,160,-2,52,263,702,3.9398236,6.753051445,54
1,248.3076,-9999,-9999,-9999,2,150,-9999,-9999,5.005795,7.478507782,-9999
1,156.68317,138,79,155,2,107,242,660,7.0342727,6.888182063,55
1,333.3048,137,73,160,-3,68,257,652,2.0753882,7.594308225,55
1,50.353676,140,73,153,-13,92,345,664,7.229591,6.649685898,56
1,308.50174,138,75,153,7,72,314,659,5.938061,6.705907055,55
1,281.2477,138,75,153,2,69,314,659,4.7442384,6.81974116,55
1,322.9745,141,67,165,-5,66,268,694,4.6367884,6.774699312,56
1,45.16166,141,73,159,24,98,251,686,5.2468314,7.13273481,56
1,270,140,70,162,11,84,265,682,8.335388,6.495338857,56
1,90,140,64,161,-2,64,340,694,1.8648396,7.658806093,56
1,80.59009,139,60,149,7,105,227,670,5.654415,7.083221912,55
1,180,139,76,168,-12,120,241,663,4.6273675,7.366092421,55
1,187.16498,138,69,176,7,126,257,662,7.436287,6.970692975,56
1,288.3387,142,75,161,-4,54,251,683,2.945244,7.044692223,56
1,303.54193,138,69,171,2,116,239,689,3.353313,7.689166581,56
1,290.4505,139,81,180,5,88,225,676,7.912921,6.588465099,55
1,282.46054,140,72,169,-3,118,244,684,8.533475,6.794638356,55
1,116.43564,142,62,147,6,72,248,706,6.225434,6.658289812,56
1,225.16177,140,75,158,9,74,216,690,2.6289327,7.558284562,54
1,243.5645,137,93,165,5,63,275,643,6.225462,6.533122114,55
1,343.969,138,80,171,-8,67,232,672,6.7240863,6.414592154,54
1,26.694431,138,74,166,-2,93,222,662,4.1453166,7.259230687,54
1,31.751787,136,81,166,4,82,224,670,13.900266,5.971137762,54
1,90,137,71,177,2,98,233,674,6.5009727,6.899359566,54
1,45.16024,138,73,183,-11,139,221,689,5.2467017,7.371434162,54
1,56.458355,140,79,186,-3,56,251,659,3.3533382,6.964263148,55
1,90,140,79,186,2,52,251,659,0.9326336,8.195419819,55
1,158.08708,140,62,183,-3,94,226,661,4.9859686,7.102510502,55
1,168.62685,138,70,167,-10,177,236,671,4.7196374,7.698237157,55
1,213.84181,138,74,178,-5,189,245,652,3.3462331,8.112254228,56
1,123.53994,138,78,165,7,103,246,652,3.3534884,7.555582741,55
1,277.0851,138,74,149,-4,105,292,656,7.476846,6.775649844,55
1,314.83728,137,78,140,6,69,258,669,2.6289763,7.487650376,56
1,192.16159,139,71,172,4,137,223,661,13.052401,6.458956733,55
1,132.11191,138,74,175,-1,92,302,640,13.571514,6.065694839,55
1,153.30469,138,78,168,3,92,302,647,10.270069,6.453135408,55
1,296.43573,137,79,167,-18,160,239,660,2.082426,8.395658121,56
1,256.0394,137,83,169,19,146,244,676,7.6432376,7.096046295,54
1,285.86203,-9999,-9999,-9999,-4,142,-9999,-9999,6.7553253,7.123680506,-9999
1,206.69193,-9999,-9999,-9999,-9,149,-9999,-9999,2.0753286,8.341551372,-9999
1,56.4569,-9999,-9999,-9999,-1,170,-9999,-9999,3.3532102,7.996222331,-9999
1,90,-9999,-9999,-9999,-2,174,-9999,-9999,4.6530952,7.68464306,-9999
1,14.111907,139,72,188,-3,112,232,679,3.8197403,7.502352886,55
1,261.9146,138,85,160,-18,113,216,699,6.5654993,6.941132366,56
1,134.83826,142,66,155,2,76,236,665,3.9399447,7.106299962,55
1,71.661674,136,77,191,-3,150,263,657,5.875127,7.336581737,54
1,225.16112,139,83,162,-3,26,299,689,1.3151432,7.106311098,54
1,270,139,86,157,-3,25,309,692,0.9326384,7.450081707,54
1,270,142,79,170,10,50,206,645,2.795951,7.079704354,55
1,270,139,82,148,0,26,283,696,0.9326427,7.450077105,54
1,0,140,82,148,5,22,301,696,0,-9999,54
1,90,140,88,155,12,23,301,690,0.93264365,7.450076082,53
1,45.161274,140,88,155,-10,27,312,690,1.3151469,7.106308287,53
1,270,140,90,175,-8,110,191,633,1.8649197,8.16085505,55
1,225.16257,136,84,159,7,35,293,630,2.628969,6.842134059,55
1,165.88684,136,78,194,1,77,246,619,3.8197613,7.101005986,54
1,270,138,80,147,5,26,284,716,1.8647032,7.035690685,53
1,218.81535,136,97,146,-4,27,268,708,5.930518,5.875453949,53
1,218.81535,136,97,146,-4,27,268,708,5.930518,5.875453949,53
1,314.84024,138,-9999,-9999,-4,185,238,-9999,2.6288395,8.333256686,-9999
1,233.28479,137,65,161,-7,111,261,693,9.227828,6.629489417,54
1,330.80804,139,67,165,15,101,340,686,9.474552,6.552618791,56
1,277.08524,138,73,157,6,105,285,664,7.4766994,6.809861077,55
1,321.18222,139,71,156,14,104,244,654,5.930717,7.018092459,55
1,270,139,72,158,21,101,251,665,8.335418,6.682798216,56
1,270,139,73,157,-3,100,271,664,3.7257402,7.432031765,55
1,18.532736,138,75,163,-2,110,257,648,14.364563,6.20638619,56
1,322.9737,138,84,157,-18,102,258,654,4.636836,7.203356988,55
1,180,137,76,146,-6,73,258,651,3.7047918,7.08101114,55
1,146.15935,140,74,153,-1,73,269,640,6.669703,6.588772443,55
1,310.44025,135,70,138,5,81,279,654,8.515944,6.442180544,55
1,225.16295,140,72,155,-4,72,269,636,1.3151855,8.192915007,55
1,180,140,79,180,-9,31,227,666,2.7802885,6.580235859,54
1,291.68973,139,81,151,11,27,244,679,5.0063787,6.072551641,55
1,347.40237,141,73,150,3,57,233,672,8.49063,6.121414528,54
1,90,-9999,-9999,-9999,-16,86,-9999,-9999,5.5789557,6.836918332,-9999
1,134.83727,-9999,-9999,-9999,2,73,-9999,-9999,5.2469306,6.782232827,-9999
1,308.50162,141,85,157,9,46,243,647,5.938078,6.233544881,55
1,306.71432,139,78,185,-5,78,259,617,4.644124,6.987768508,56
1,303.54047,141,85,157,11,50,243,647,3.3534415,6.93144247,55
1,341.46854,142,74,187,1,82,317,670,2.9320738,7.448981189,56
1,303.54187,139,78,170,4,65,242,689,3.353319,7.099814413,56
1,90,137,84,186,2,103,249,637,2.7960389,7.72876003,55
1,82.44775,138,81,173,5,72,284,640,13.838289,5.855422154,54
1,84.83473,138,81,173,-12,91,284,640,10.193237,6.360265494,54
1,326.16125,137,70,179,7,136,255,671,9.948567,6.744624536,55
1,318.65463,138,77,178,-1,145,267,671,9.78715,6.813610261,55
1,296.43655,138,78,182,5,103,231,673,6.2252316,6.943059108,55
1,333.30597,139,78,175,13,62,235,678,6.2044587,6.523105218,55
1,309.64743,139,76,185,10,71,232,679,7.229422,6.471461265,55
1,326.16147,138,75,174,-3,82,238,694,3.3461046,7.316629976,56
1,270,140,83,180,9,73,236,686,0.9326206,8.499922944,56
0,0,139,73,170,2,153,252,699,0,-9999,56
0,318.65402,138,69,170,5,69,249,655,9.787241,6.176195624,55
0,45.159035,-9999,-9999,-9999,0,158,-9999,-9999,3.9397578,7.781476231,-9999
0,0,-9999,-9999,-9999,1,176,-9999,-9999,2.7802885,8.212273603,-9999
0,110.45174,-9999,-9999,-9999,3,159,-9999,-9999,7.91247,7.079347795,-9999
0,0,139,73,180,9,209,264,662,2.7802885,8.400166205,56
0,225.16249,139,70,159,0,187,273,682,3.9399958,7.948469731,56
0,278.08508,137,72,164,-11,118,261,686,6.5657325,6.998254953,55
0,45.16099,123,69,180,9,155,246,674,5.2467704,7.493759854,55
0,198.53273,139,71,172,-1,123,223,661,5.848913,7.168838976,55
0,180,138,72,172,1,46,211,635,5.547545,6.339073774,54
0,165.88724,138,73,160,-5,77,286,654,3.8197548,7.12539913,56
0,251.66307,137,70,175,4,155,226,653,2.9455223,8.054656483,56
0,206.69215,139,73,197,2,190,243,670,2.0753326,8.590668455,56
0,270,140,74,166,5,74,214,679,0.9325799,8.524659217,55
0,243.56276,138,71,166,12,136,236,696,2.0823152,8.297913664,56
0,270,-9999,-9999,-9999,0,118,-9999,-9999,1.8647435,8.228772194,-9999
0,258.75262,-9999,-9999,-9999,-5,141,-9999,-9999,4.744389,7.492922219,-9999
0,116.43513,138,77,175,14,98,238,639,8.275516,6.672870856,55
0,341.46918,-9999,-9999,-9999,14,170,-9999,-9999,2.9320626,8.147797936,-9999
0,26.696589,138,71,179,-4,217,271,657,2.0754135,8.71579262,56
0,314.83813,140,76,190,0,105,221,636,2.6289368,7.763077431,54
0,322.97165,136,76,179,3,165,222,652,4.6369615,7.653645498,54
0,251.66214,138,74,157,-17,130,297,647,8.774675,6.817256872,55
0,296.43527,134,83,165,0,42,331,633,2.0824587,7.142879454,55
0,56.45886,139,73,185,-3,138,216,677,6.683947,7.113781687,54
0,99.41053,139,77,179,9,94,217,658,5.654049,6.985431312,55
0,180,-9999,-9999,-9999,6,208,-9999,-9999,0.92740995,9.484792219,-9999
0,306.716,138,80,161,4,62,220,712,4.6439433,6.758966022,54
0,56.45995,138,75,184,1,140,247,643,6.684138,7.161219428,55
0,243.56299,138,68,164,-2,190,239,686,2.0823314,8.587298808,55
0,180,138,70,155,8,70,286,654,4.6273675,6.908511312,55
0,217.0268,138,80,169,2,164,228,658,4.6368666,7.647800933,56
0,283.96002,139,65,167,-4,179,221,668,3.8388474,7.932666338,56
0,134.83852,140,79,178,-3,152,231,664,1.3151517,8.811052753,55
0,333.30707,138,70,186,-5,147,256,675,2.075347,8.341542519,56
0,180,-9999,-9999,-9999,3,169,-9999,-9999,1.8543341,8.589408212,-9999
0,206.69548,138,72,187,2,54,226,617,4.1453547,6.751626849,55
0,314.83847,137,79,171,3,78,226,666,5.2468204,6.83045604,54
0,180,137,68,189,-1,96,220,635,2.7802885,7.640008314,54
0,333.30612,137,68,166,3,35,225,702,4.1452966,6.431169036,54
0,341.46915,-9999,-9999,-9999,3,173,-9999,-9999,2.9320633,8.142131954,-9999
0,26.69436,140,115,157,-3,25,242,689,2.075373,6.684945295,53
0,189.5143,139,75,178,6,66,239,682,5.6244264,6.621954596,55
0,180,139,78,189,4,84,235,636,2.7802885,7.524697468,55
0,180,-9999,-9999,-9999,-7,173,-9999,-9999,2.7802885,8.20103753,-9999
0,270,139,72,150,-6,205,247,716,5.5790877,7.677893133,56
0,314.83737,140,66,161,-6,168,253,687,1.315178,8.927371706,56
0,270,-9999,-9999,-9999,-3,168,-9999,-9999,3.7253428,7.896444355,-9999
0,45.161835,139,63,165,3,130,243,674,2.6289353,7.993601635,55
0,225.16354,138,76,187,6,146,222,638,3.9400685,7.70588958,56
0,348.62784,139,74,190,10,143,223,669,4.719621,7.524671842,54
0,0,137,84,182,9,67,260,646,3.7047918,7.106653571,55
0,71.66214,138,72,159,-1,129,233,667,5.875268,7.229789569,55
0,0,138,72,168,-13,154,237,651,0.92740995,9.198673869,55
0,180,139,75,163,4,45,264,659,1.8543341,7.381596631,55
0,0,137,75,159,-6,140,264,659,1.8543341,8.400166212,55
0,0,137,68,168,-4,200,218,692,1.8543341,8.743558892,56
0,251.66121,-9999,-9999,-9999,0,87,-9999,-9999,2.945233,7.478018016,-9999
0,0,139,-9999,-9999,0,169,241,-9999,1.8543341,8.577847389,-9999
0,213.84041,138,76,172,4,35,234,628,3.3461783,6.60047121,55
0,90,139,97,150,2,24,279,692,1.864801,6.756924761,53
0,341.46744,140,89,179,15,53,285,613,8.735641,6.121520895,55
0,288.3387,140,76,178,-9,172,232,687,2.9452426,8.126210565,56
0,251.66162,138,70,150,-1,200,242,702,2.9452958,8.290147161,55
0,333.30646,137,69,163,3,196,261,695,2.0753577,8.61597419,55
0,134.83969,139,77,169,8,146,242,699,2.6288652,8.104853971,56
0,225.15837,-9999,-9999,-9999,-5,168,-9999,-9999,2.6287758,8.234299102,-9999
0,314.83618,-9999,-9999,-9999,4,124,-9999,-9999,1.3152058,8.633871389,-9999
0,33.838345,139,-9999,-9999,0,120,208,-9999,3.3460977,7.659576798,-9999
0,116.43432,139,72,173,-2,219,229,676,2.082528,8.716882094,56
0,270,139,86,170,-1,59,222,686,3.7256732,6.890452515,55
0,180,141,75,195,7,96,224,634,1.8543341,8.045473429,54
0,225.15953,135,90,128,-1,31,280,718,2.6288292,6.607347688,52
0,0,139,75,188,2,163,232,669,1.8543341,8.56615135,55
0,270,139,73,170,0,152,252,699,2.7958734,8.069145109,56
0,239.1798,138,86,186,-7,137,235,642,5.414672,7.297774738,55
0,270,140,81,150,-1,67,250,699,2.7958074,7.281992638,54
0,45.161644,140,76,184,6,124,237,672,5.24683,7.278152084,55
0,291.6919,-9999,-9999,-9999,7,144,-9999,-9999,5.005903,7.445696321,-9999
0,134.83704,140,69,159,9,136,236,668,2.6289873,8.064533573,55
0,0,137,77,189,2,130,235,683,0.92740995,9.028774832,54
0,270,-9999,-9999,-9999,2,214,-9999,-9999,1.8646793,8.813857297,-9999
0,180,135,105,146,-1,30,269,707,0.92740995,7.649860578,53
0,225.16043,139,70,167,2,137,243,691,1.3151275,8.722878448,56
0,258.752,140,83,146,-7,28,262,698,4.7441306,5.9855382,54
0,90,140,74,181,-9,79,216,686,2.7958374,7.426021246,54
0,258.75076,-9999,-9999,-9999,5,156,-9999,-9999,4.7436056,7.582892016,-9999
0,288.33957,140,66,163,6,207,239,692,2.9451134,8.337837247,56
0,180,141,72,198,3,90,236,624,1.8543341,7.994701104,54
0,141.1812,140,80,175,4,78,193,665,5.9308033,6.741824425,55
0,21.913866,137,76,179,9,142,275,642,4.986001,7.469502793,56
0,256.03833,139,74,166,-1,207,248,702,3.8384058,8.06296526,56
0,314.83948,-9999,-9999,-9999,0,118,-9999,-9999,2.6288755,7.87676009,-9999
0,270,-9999,-9999,-9999,-6,150,-9999,-9999,0.93258566,9.154886371,-9999
0,123.53882,138,71,168,-11,163,233,672,3.3535874,7.949042086,56
0,90,141,79,171,3,64,225,682,0.9326466,8.366363682,55
0,111.69034,137,70,179,-27,109,228,677,9.937198,6.486777145,54
0,333.30652,138,70,139,-1,244,242,740,2.075357,8.831085915,55
0,26.692257,-9999,-9999,-9999,0,159,-9999,-9999,4.145238,7.724387173,-9999
0,134.8393,-9999,-9999,-9999,-1,120,-9999,-9999,1.3151337,8.586298198,-9999
0,171.82475,-9999,-9999,-9999,-3,131,-9999,-9999,6.530662,7.087356643,-9999
0,33.839317,138,79,171,-5,137,236,679,9.948632,6.737883852,55
0,168.62718,137,82,182,3,104,215,619,4.7196317,7.185579571,54
0,180,141,82,178,3,98,201,630,3.7047918,7.391166069,54
0,270,139,-9999,-9999,-2,107,194,-9999,6.501473,6.908092592,-9999
0,180,139,75,179,-2,210,202,669,0.92740995,9.484792219,55
0,45.16039,141,67,190,-3,72,229,646,2.6288686,7.398460292,54
0,0,139,65,190,-1,105,248,624,1.8543341,8.103181747,54
0,288.33722,137,76,171,-6,173,215,664,2.9454768,8.143225368,56
0,258.7515,140,78,171,-2,68,203,694,4.7439127,6.765742903,55
0,180,134,111,154,1,26,271,694,0.92740995,7.490795883,53
0,296.43692,138,72,166,-1,129,232,694,4.1591883,7.518989012,56
0,306.71402,139,82,168,-16,53,291,624,4.644158,6.55347564,55
0,296.43396,-9999,-9999,-9999,-9,190,-9999,-9999,4.1596217,7.883734825,-9999
0,270,140,79,198,-1,139,236,661,0.93259233,9.08077124,56
0,0,137,73,141,11,105,268,671,1.8543341,8.166551361,55
0,296.43558,136,102,150,-5,34,283,692,2.0824373,6.897767309,53
0,324.30814,138,84,157,5,85,258,654,7.942702,6.533887886,55
0,225.16333,137,79,169,4,173,215,658,1.3151945,8.950217331,56
0,243.56377,141,81,167,-1,84,223,666,2.0823882,7.825131483,56
0,170.4847,138,73,180,8,77,226,629,5.624443,6.783794635,54
0,296.43512,135,101,189,-8,109,275,634,4.1594524,7.3917701,55
0,291.69034,139,86,177,0,141,231,661,5.0062456,7.425424778,55
0,270,-9999,-9999,-9999,-1,148,-9999,-9999,2.7957587,8.062755302,-9999
0,225.16325,-9999,-9999,-9999,3,109,-9999,-9999,3.940049,7.411655084,-9999
0,180,142,74,195,-7,142,253,635,1.8543341,8.407086655,56
0,0,136,77,191,8,162,263,657,2.7802885,8.148851777,54
0,45.16111,138,71,196,-3,128,258,691,3.9399009,7.595475259,56
0,180,137,71,173,6,119,259,643,3.7047918,7.557487284,55
0,26.692822,135,89,128,7,31,280,724,2.0753448,6.873011094,53
0,134.8381,139,64,148,3,89,244,662,7.842997,6.557044368,55
0,248.30858,139,76,159,6,184,232,690,5.006011,7.692534666,55
0,260.58917,139,67,169,0,201,255,690,5.653872,7.635643949,56
0,155.91827,140,-9999,-9999,5,111,248,-9999,9.066755,6.63100766,-9999
0,225.161,-9999,-9999,-9999,-3,131,-9999,-9999,1.3151405,8.679383452,-9999
0,153.30344,138,73,182,1,152,221,644,2.075413,8.361055265,56
0,0,139,76,188,-4,209,253,653,0.92740995,9.475358187,57
0,225.16139,-9999,-9999,-9999,2,113,-9999,-9999,3.9399202,7.471279961,-9999
0,0,138,75,168,9,86,265,644,6.464861,6.802562709,54
0,111.68919,-9999,-9999,-9999,-3,94,-9999,-9999,5.006497,7.009652719,-9999
0,341.4696,-9999,-9999,-9999,-5,159,-9999,-9999,2.9320552,8.065400929,-9999
0,78.75139,136,87,147,4,25,233,699,4.7438707,6.044433731,52
0,196.0322,137,66,199,14,124,214,628,6.7241263,7.020721946,55
0,213.83931,140,69,178,-7,78,231,652,6.6696005,6.564977305,55
0,321.18503,-9999,-9999,-9999,-3,171,-9999,-9999,5.930486,7.435025457,-9999
0,296.43698,138,113,143,-3,26,274,704,2.082333,6.681594278,53
0,217.02707,-9999,-9999,-9999,4,135,-9999,-9999,4.6368833,7.453641303,-9999
0,63.56556,138,76,197,-2,126,248,624,2.0825193,8.166239216,55
0,270,-9999,-9999,-9999,8,167,-9999,-9999,3.7253656,7.907801952,-9999
0,116.43834,-9999,-9999,-9999,3,167,-9999,-9999,2.0822346,8.456009334,-9999
0,0,141,76,185,-4,112,235,647,7.3788605,6.896088807,55
0,243.56169,-9999,-9999,-9999,-7,166,-9999,-9999,2.0822372,8.444243232,-9999
0,74.138954,138,76,189,-8,153,228,685,6.7557316,7.202091422,54
0,45.161556,138,70,176,-5,135,254,680,5.246822,7.343631567,54
0,26.696636,-9999,-9999,-9999,1,141,-9999,-9999,2.0754144,8.30123608,-9999
0,314.83902,137,74,178,0,178,246,675,1.3151405,8.967065525,54
0,0,142,71,185,7,76,230,641,0,-9999,54
0,225.16203,142,65,151,5,81,248,695,1.3151643,8.273900209,56
0,194.11159,140,65,156,1,218,240,693,3.819735,8.11373549,57
0,116.43684,138,98,152,-3,26,270,707,2.0823443,6.646497572,52
0,37.026966,137,75,158,-4,145,242,648,4.636877,7.515946529,56
